processid;state;user;tasktype;taskid;action;pmmid;region;priority;
110322;OPEN;User task 2;USER_TASK;202074;ASSIGNED;1699;CAPE TOWN;1;#N/A
130043;OPEN;Approve GeoSlam;USER_TASK;202146;ASSIGNED;1699;CAPE TOWN;1;#N/A
100306;OPEN;Approve GeoSlam;USER_TASK;201999;ASSIGNED;1701;JOHANNESBURG;3;#N/A
130045;OPEN;Approve GeoSlam;USER_TASK;202148;ASSIGNED;1721;CAPE TOWN;1;#N/A
130047;OPEN;Approve GeoSlam;USER_TASK;202150;ASSIGNED;1738;JOHANNESBURG;2;#N/A
130049;OPEN;Approve GeoSlam;USER_TASK;202152;ASSIGNED;1739;JOHANNESBURG;2;#N/A
130051;OPEN;Approve GeoSlam;USER_TASK;202154;ASSIGNED;1740;JOHANNESBURG;2;#N/A
130053;OPEN;Approve GeoSlam;USER_TASK;202156;ASSIGNED;1741;JOHANNESBURG;2;#N/A
100303;OPEN;Approve GeoSlam;USER_TASK;201996;ASSIGNED;1780;PRETORIA;3;#N/A
110572;OPEN;Approve GeoSlam;USER_TASK;201994;ASSIGNED;1781;PRETORIA;3;#N/A
110570;OPEN;Approve GeoSlam;USER_TASK;201992;ASSIGNED;1782;PRETORIA;3;#N/A
110568;OPEN;Approve GeoSlam;USER_TASK;201990;ASSIGNED;1783;PRETORIA;3;#N/A
110566;OPEN;Approve GeoSlam;USER_TASK;201988;ASSIGNED;1784;PRETORIA;3;#N/A
110564;OPEN;Approve GeoSlam;USER_TASK;201986;ASSIGNED;1790;PRETORIA;3;#N/A
130055;OPEN;Approve GeoSlam;USER_TASK;202158;ASSIGNED;1791;PRETORIA;3;#N/A
110560;OPEN;Approve GeoSlam;USER_TASK;201982;ASSIGNED;1792;PRETORIA;3;#N/A
110562;OPEN;Approve GeoSlam;USER_TASK;201984;ASSIGNED;1792;PRETORIA;3;#N/A
110558;OPEN;Approve GeoSlam;USER_TASK;201980;ASSIGNED;1793;PRETORIA;3;#N/A
110556;OPEN;Approve GeoSlam;USER_TASK;201978;ASSIGNED;1794;PRETORIA;3;#N/A
100301;OPEN;Approve GeoSlam;USER_TASK;201976;ASSIGNED;1795;PRETORIA;3;#N/A
100299;OPEN;Approve GeoSlam;USER_TASK;201974;ASSIGNED;1796;PRETORIA;3;#N/A
110554;OPEN;Approve GeoSlam;USER_TASK;201972;ASSIGNED;1797;PRETORIA;3;#N/A
110010;OPEN;User task 2;USER_TASK;201842;ASSIGNED;1803;JOHANNESBURG;2;#N/A
110014;OPEN;User task 2;USER_TASK;201841;ASSIGNED;1810;JOHANNESBURG;2;#N/A
100131;OPEN;User task 2;USER_TASK;202045;ASSIGNED;1815;JOHANNESBURG;1;#N/A
110278;OPEN;Approve GeoSlam;USER_TASK;201474;ASSIGNED;1816;JOHANNESBURG;1;#N/A
100297;OPEN;Approve GeoSlam;USER_TASK;201970;ASSIGNED;1821;CAPE TOWN;3;#N/A
100011;OPEN;Approve LS;USER_TASK;201449;ASSIGNED;1823;PRETORIA;1;#N/A
100173;OPEN;User task 1;USER_TASK;201882;SUSPENDED;1863;PRETORIA;1;#N/A
130057;OPEN;Approve GeoSlam;USER_TASK;202160;ASSIGNED;1863;PRETORIA;1;#N/A
